id,feature_key,display_name,category,feature_type,description,rollout_status,created_at,updated_at,archived_at,is_toggleable,is_removable,lock_reason,is_system_feature
292394ba-6e76-400d-b9df-ee87d2ff522c,features,Feature Catalog,Support Tools,module,,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
2a941af2-2c1b-4f38-b73a-a5c3dc923991,migration_errors,Migration Errors,Support Tools,module,Database table: migration_errors,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
2e5ebb0b-6820-42a9-948f-cc0bdf7711b2,notification_jobs,Notification Jobs,Support Tools,module,Database table: notification_jobs,live,2026-01-28 19:00:07.487591+00,2026-01-28 19:00:07.487591+00,,true,true,,false
304b305e-510f-475b-b17e-04ab399b14ed,trialexpired,Trial Expired,Support Tools,module,,live,2026-01-28 19:00:07.487591+00,2026-01-28 19:00:07.487591+00,,true,true,,false
310493ba-433d-486b-bb99-885d5c01b082,rls_validation_results,Rls Validation Results,Support Tools,module,Database table: _rls_validation_results,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
314159de-72fb-4f9d-ad1e-9228ce273197,checkoutcancel,Checkout Cancelled,Payments,module,,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
315aa082-0f6a-4b84-a8c8-d687b31d6110,featureflags,Feature Flags,Support Tools,module,Feature toggles,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
321ea03a-e4aa-404e-ab44-3b24b1af0ced,organizations,Organizations,Support Tools,module,Database table: organizations,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
3327bb01-e563-4400-b323-9d0a7af18cb5,checkout_sessions,Checkout Sessions,Support Tools,module,Database table: checkout_sessions,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
3428dda5-f0f9-4bb6-baf5-73eaa9af8456,structure,Structure,Support Tools,module,Data model,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
35fbad55-676a-4ed4-b538-38d30e869870,fees,Fees,Payments,module,Database table: fees,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
3661f305-7009-4f37-82f4-1fed2d64c22e,team_memberships,Team Memberships,Teams & Rosters,module,Database table: team_memberships,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
37a578a9-56db-4e30-a4b1-62917d7d8b02,guardian,Guardian,Support Tools,module,Service Module: guardianService.ts,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
392fa735-f708-4b20-ae44-c360128004c7,event_general_rsvps,Event General Rsvps,Scheduling & Calendar,module,Database table: event_general_rsvps,live,2026-01-28 19:00:07.487591+00,2026-01-28 19:00:07.487591+00,,true,true,,false
39fcba90-da8e-40d1-86e0-1543d4f9e9e0,admin_license_tiers_list,Admin License Tiers List,Support Tools,module,Database table: admin_license_tiers_list,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
3a095133-42a4-4f81-85ee-2456fd5b41ba,audit_logs_old,Audit Logs Old,Support Tools,module,Database table: audit_logs_old,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
3a6e7093-9351-409d-a6d2-d98cacd7238f,announcements,Announcements,Support Tools,module,Database table: announcements,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
3ea742cf-a707-4799-9232-5cf8fe1dcc82,team_seasons_view,Team Seasons View,Teams & Rosters,module,Database table: team_seasons_view,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
3fee8def-249a-4a91-8580-f3ee775ee16b,discount_redemptions,Discount Redemptions,Support Tools,module,Database table: discount_redemptions,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
44a1c548-9e59-4d7a-9f03-31c7d828c588,discount_codes,Discount Codes,Support Tools,module,Database table: discount_codes,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
464b5ae0-d3b2-4782-9e44-ba6ba059f67a,preferences,Preferences,Support Tools,module,Service Module: preferencesService.ts,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
