Feature Key,Name,Category,Type,Description
event_attendance,Event Attendance,Scheduling & Calendar,module,Database table: event_attendance
event_change_history,Event Change History,Scheduling & Calendar,module,Database table: event_change_history
eventdetail,Event Details,Scheduling & Calendar,module,
event_general_rsvps,Event General Rsvps,Scheduling & Calendar,module,Database table: event_general_rsvps
event_locations,Event Locations,Scheduling & Calendar,module,Database table: event_locations
event_logs,Event Logs,Scheduling & Calendar,module,Database table: event_logs
event_logs_archive,Event Logs Archive,Scheduling & Calendar,module,Database table: event_logs_archive
event_rsvp,Event RSVP,Scheduling & Calendar,module,Allow attendees to RSVP to events
event_rsvps,Event Rsvps,Scheduling & Calendar,module,Database table: event_rsvps
ticketeventdetail,Event Tickets,Scheduling & Calendar,module,
events,Events,Scheduling & Calendar,module,Service Module: eventsService.ts
eventsservice_integration_test,Eventsservice Integration Test,Scheduling & Calendar,module,Service Module: eventsService.integration.test.ts
eventsservice_test,Eventsservice Test,Scheduling & Calendar,module,Service Module: eventsService.test.ts
fan_event_bookmarks,Fan Event Bookmarks,Scheduling & Calendar,module,Database table: fan_event_bookmarks
installment_schedules,Installment Schedules,Scheduling & Calendar,module,Database table: installment_schedules
ticketaccess,My Tickets,Scheduling & Calendar,module,
mytickets,My Tickets,Scheduling & Calendar,module,Your event tickets
ticketordersuccess,Order Confirmation,Scheduling & Calendar,module,
orgtickets,Organization Tickets,Scheduling & Calendar,module,
recurring_event_instances,Recurring Event Instances,Scheduling & Calendar,module,Database table: recurring_event_instances
recurring_event_patterns,Recurring Event Patterns,Scheduling & Calendar,module,Database table: recurring_event_patterns
recurring_events,Recurring Events,Scheduling & Calendar,module,Create recurring event series
calendar,Schedule,Scheduling & Calendar,module,View all events
schedule,Schedule,Scheduling & Calendar,module,Facility scheduling calendar
scheduled_reports,Scheduled Reports,Scheduling & Calendar,module,Database table: scheduled_reports
schedules,Scheduled Reports,Scheduling & Calendar,module,Manage scheduled reports
support_tickets,Support Tickets,Scheduling & Calendar,module,Create and manage support tickets
orgticketaccesslanding,Ticket Access,Scheduling & Calendar,module,
orgticketaccess,Ticket Access,Scheduling & Calendar,module,
ticket_access_links,Ticket Access Links,Scheduling & Calendar,module,Database table: ticket_access_links
ticket_holds,Ticket Holds,Scheduling & Calendar,module,Database table: ticket_holds
orgticketorder,Ticket Order,Scheduling & Calendar,module,
ticket_order_items,Ticket Order Items,Scheduling & Calendar,module,Database table: ticket_order_items
ticket_orders,Ticket Orders,Scheduling & Calendar,module,Database table: ticket_orders
ticketingorders,Ticket Orders,Scheduling & Calendar,module,
ticket_reservations,Ticket Reservations,Scheduling & Calendar,module,Database table: ticket_reservations
ticketingscanner,Ticket Scanner,Scheduling & Calendar,module,
ticket_scans,Ticket Scans,Scheduling & Calendar,module,Database table: ticket_scans
ticket_staff_links,Ticket Staff Links,Scheduling & Calendar,module,Database table: ticket_staff_links
ticket_types,Ticket Types,Scheduling & Calendar,module,Database table: ticket_types
orgticketevent,Ticketed Event,Scheduling & Calendar,module,
ticketed_events,Ticketed Events,Scheduling & Calendar,module,Database table: ticketed_events
ticketing,Ticketing,Scheduling & Calendar,module,Service Module: ticketingService.ts
ticketingeventsadmin,Ticketingeventsadmin,Scheduling & Calendar,module,Service Module: ticketingEventsAdminService.ts
ticketingordersadmin,Ticketingordersadmin,Scheduling & Calendar,module,Service Module: ticketingOrdersAdminService.ts
tickets,Tickets,Scheduling & Calendar,module,Database table: tickets
valid_event_types,Valid Event Types,Scheduling & Calendar,module,Database table: valid_event_types
ticketvalidate,Validate Tickets,Scheduling & Calendar,module,
audit_logging,Audit Logging,Security & Compliance,module,View detailed audit logs
data_encryption,Data Encryption,Security & Compliance,module,Enhanced data encryption
addons,Addons,Support Tools,module,Service Module: addOnsService.ts
admin_audit_log,Admin Audit Log,Support Tools,module,Database table: admin_audit_log
admin_entitlement_overrides_list,Admin Entitlement Overrides List,Support Tools,module,Database table: admin_entitlement_overrides_list
admin_feature_entitlements_list,Admin Feature Entitlements List,Support Tools,module,Database table: admin_feature_entitlements_list
admin_feature_flag_overrides,Admin Feature Flag Overrides,Support Tools,module,Database table: admin_feature_flag_overrides
admin_feature_flags,Admin Feature Flags,Support Tools,module,Database table: admin_feature_flags
admin_feature_flags_list,Admin Feature Flags List,Support Tools,module,Database table: admin_feature_flags_list
admin_license_metrics,Admin License Metrics,Support Tools,module,Database table: admin_license_metrics
admin_license_tiers_list,Admin License Tiers List,Support Tools,module,Database table: admin_license_tiers_list
admin_organizations,Admin Organizations,Support Tools,module,Database table: admin_organizations
admin_platform_health,Admin Platform Health,Support Tools,module,Database table: admin_platform_health
admin_structure,Admin Structure,Support Tools,module,Database table: admin_structure
admin_users,Admin Users,Support Tools,module,Database table: admin_users
athletemedical,Athletemedical,Support Tools,module,Service Module: athleteMedicalService.ts
athletenotifications,Athletenotifications,Support Tools,module,Service Module: athleteNotifications.ts
athleteslist,Athleteslist,Support Tools,module,Service Module: athletesListService.ts
athletesportprofiles,Athletesportprofiles,Support Tools,module,Service Module: athleteSportProfilesService.ts
athletesports,Athletesports,Support Tools,module,Service Module: athleteSportsService.ts
athletesservice_integration_test,Athletesservice Integration Test,Support Tools,module,Service Module: athletesService.integration.test.ts
athletesservice_test,Athletesservice Test,Support Tools,module,Service Module: athletesService.test.ts
attendance,Attendance,Support Tools,module,Service Module: attendanceService.ts
attendance_settings,Attendance Settings,Support Tools,module,Database table: attendance_settings
attendanceservice_integration_test,Attendanceservice Integration Test,Support Tools,module,Service Module: attendanceService.integration.test.ts
audit,Audit & History,Support Tools,module,
audit_logs_old,Audit Logs Old,Support Tools,module,Database table: audit_logs_old
browse,Browse,Support Tools,module,Browse galleries
discoverorgs,Browse Organizations,Support Tools,module,Discover new teams
bulk_import_job_rows,Bulk Import Job Rows,Support Tools,module,Database table: bulk_import_job_rows
bulk_import_jobs,Bulk Import Jobs,Support Tools,module,Database table: bulk_import_jobs
bulkinvite,Bulkinvite,Support Tools,module,Service Module: bulkInviteService.ts
categorypages,Category Pages,Support Tools,module,Map categories to pages
thumbnails,Category Thumbnails,Support Tools,module,Upload category thumbnails
charges,Charges,Support Tools,module,Database table: charges
checkout_session_items,Checkout Session Items,Support Tools,module,Database table: checkout_session_items
checkout_sessions,Checkout Sessions,Support Tools,module,Database table: checkout_sessions
child_claim_tokens,Child Claim Tokens,Support Tools,module,Database table: child_claim_tokens
