Feature Key,Name,Category,Type,Description
ticketingservice_checkout_integration_test,Ticketingservice Checkout Integration Test,Support Tools,module,Service Module: ticketingService.checkout.integration.test.ts
ticketingservice_integration_test,Ticketingservice Integration Test,Support Tools,module,Service Module: ticketingService.integration.test.ts
tierdetail,Tier Details,Support Tools,module,
tier_feature_assignments,Tier Feature Assignments,Support Tools,module,Database table: tier_feature_assignments
tierlimits,Tierlimits,Support Tools,module,Service Module: tierLimitsService.ts
travel,Travel,Support Tools,module,Service Module: travelService.ts
travel_plan_contacts,Travel Plan Contacts,Support Tools,module,Database table: travel_plan_contacts
travel_plans,Travel Plans,Support Tools,module,Database table: travel_plans
travelnotifications,Travelnotifications,Support Tools,module,Service Module: travelNotifications.ts
trialexpired,Trial Expired,Support Tools,module,
tryout_registration_documents,Tryout Registration Documents,Support Tools,module,Database table: tryout_registration_documents
tryout_registration_staff_notes,Tryout Registration Staff Notes,Support Tools,module,Database table: tryout_registration_staff_notes
tryout_registrations,Tryout Registrations,Support Tools,module,Database table: tryout_registrations
tryout_required_documents,Tryout Required Documents,Support Tools,module,Database table: tryout_required_documents
tryout_scores,Tryout Scores,Support Tools,module,Database table: tryout_scores
tryoutsservice_integration_test,Tryoutsservice Integration Test,Support Tools,module,Service Module: tryoutsService.integration.test.ts
uniforms,Uniforms,Support Tools,module,Service Module: uniformsService.ts
update,Update Season,Support Tools,module,
detail,User Details,Support Tools,module,
user_notification_preferences,User Notification Preferences,Support Tools,module,Database table: user_notification_preferences
user_notifications,User Notifications,Support Tools,module,Database table: user_notifications
users,Users,Support Tools,module,Service Module: usersService.ts
usersservice_test,Usersservice Test,Support Tools,module,Service Module: usersService.test.ts
venue,Venue,Support Tools,module,Service Module: venueService.ts
venue_insights,Venue Insights,Support Tools,module,Database table: venue_insights
venue_nearby_amenities_summaries,Venue Nearby Amenities Summaries,Support Tools,module,Database table: venue_nearby_amenities_summaries
venue_nearby_places,Venue Nearby Places,Support Tools,module,Database table: venue_nearby_places
venueinsights,Venueinsights,Support Tools,module,Service Module: venueInsightsService.ts
venues,Venues,Support Tools,module,Database table: venues
videodetail,Video Details,Support Tools,module,
waivers,Waivers,Support Tools,module,Database table: waivers
webhookstatus,Webhook Status,Support Tools,module,Payment processing and delivery monitoring
wordpressapi,Wordpressapi,Support Tools,module,Service Module: wordpressApiService.ts
wordpressapicache,Wordpressapicache,Support Tools,module,Service Module: wordpressApiCacheService.ts
migration_consolidated_config,Migration: Consolidated Feature Configuration,System,module,
createathlete,Add Athlete to Guardian,Teams & Rosters,module,
athlete_guardians,Athlete Guardians,Teams & Rosters,module,Database table: athlete_guardians
athlete_imports,Athlete Imports,Teams & Rosters,module,Database table: athlete_imports
athlete_medical_private,Athlete Medical Private,Teams & Rosters,module,Database table: athlete_medical_private
athlete_sport_profiles,Athlete Sport Profiles,Teams & Rosters,module,Database table: athlete_sport_profiles
athlete_sports,Athlete Sports,Teams & Rosters,module,Database table: athlete_sports
athletes,Athletes,Teams & Rosters,module,Service Module: athletesService.ts
import,Import Athletes,Teams & Rosters,module,
max_players_per_team,Max Players Per Team,Teams & Rosters,limit,Maximum players allowed per team
max_teams,Maximum Teams,Teams & Rosters,limit,Maximum number of teams per organization
requestattachment,Request Athlete Attachment,Teams & Rosters,module,Request to attach to an existing athlete
team_coaches,Team Coaches,Teams & Rosters,module,Database table: team_coaches
team_memberships,Team Memberships,Teams & Rosters,module,Database table: team_memberships
roster,Team Roster,Teams & Rosters,module,
team_seasons,Team Seasons,Teams & Rosters,module,Database table: team_seasons
team_seasons_view,Team Seasons View,Teams & Rosters,module,Database table: team_seasons_view
teams,Teams,Teams & Rosters,module,Service Module: teamsService.ts
teamsmanagement,Teams,Teams & Rosters,module,
teamsservice_test,Teamsservice Test,Teams & Rosters,module,Service Module: teamsService.test.ts
edit,Edit Template,Travel,module,
traveldetail,Travel Details,Travel,module,
travel_details,Travel Details,Travel,module,Access detailed travel information and itineraries
travel_notifications,Travel Notifications,Travel,module,Send travel-related notifications
tryout_decisions,Tryout Decisions,Tryouts,module,Make tryout acceptance/rejection decisions
tryoutdetail,Tryout Details,Tryouts,module,
tryout_scoring,Tryout Scoring,Tryouts,module,Score and evaluate tryout participants
gear_management,Gear Management,Uniforms & Gear,module,Track and manage team gear
uniform_kit_items,Uniform Kit Items,Uniforms & Gear,module,Database table: uniform_kit_items
uniformkitdetail,Uniform Kit Order,Uniforms & Gear,module,
uniform_kits,Uniform Kits,Uniforms & Gear,module,Database table: uniform_kits
uniform_submission_items,Uniform Submission Items,Uniforms & Gear,module,Database table: uniform_submission_items
uniform_submissions,Uniform Submissions,Uniforms & Gear,module,Database table: uniform_submissions
upload,Upload Video,Video Library,module,Upload new video
video_athlete_links,Video Athlete Links,Video Library,module,Database table: video_athlete_links
video_bookmarks,Video Bookmarks,Video Library,module,Database table: video_bookmarks
video_comments,Video Comments,Video Library,module,Database table: video_comments
video_favorites,Video Favorites,Video Library,module,Database table: video_favorites
video_note_targets,Video Note Targets,Video Library,module,Database table: video_note_targets
video_notes,Video Notes,Video Library,module,Database table: video_notes
video_reviews,Video Reviews,Video Library,module,Database table: video_reviews
video_shares,Video Shares,Video Library,module,Database table: video_shares
video_tag_links,Video Tag Links,Video Library,module,Database table: video_tag_links
video_tags,Video Tags,Video Library,module,Database table: video_tags
videos,Videos,Video Library,module,Database table: videos
